gps_center,band_psd,n_avg
1256747200.0,2.453331e-46,63
1256747328.0,2.505356e-46,63
1256747456.0,2.414462e-46,63
1256747584.0,2.429814e-46,63
1256747712.0,2.447967e-46,63
1256747840.0,2.414923e-46,63
1256747968.0,2.408037e-46,63
1256748096.0,2.441592e-46,63
1256748224.0,2.422734e-46,63
1256748352.0,2.466553e-46,63
1256748480.0,2.485827e-46,63
1256748608.0,2.490519e-46,63
1256748736.0,2.455575e-46,63
1256748864.0,2.506371e-46,63
1256748992.0,2.537109e-46,63
1256749120.0,2.485877e-46,63
1256749248.0,2.405707e-46,63
1256749376.0,2.469756e-46,63
1256749504.0,2.462021e-46,63
1256749632.0,2.539785e-46,63
1256749760.0,2.512942e-46,63
1256749888.0,2.427809e-46,63
1256750016.0,2.457274e-46,63
1256750144.0,2.527347e-46,63
1256750272.0,2.489996e-46,63
1256750400.0,2.458406e-46,63
1256750528.0,2.443359e-46,63
1256751401.0,2.394610e-46,63
1256751529.0,2.432926e-46,63
1256751657.0,2.394961e-46,63
1256751785.0,2.436637e-46,63
1256751913.0,2.389048e-46,63
1256752041.0,2.388251e-46,63
1256752169.0,2.339003e-46,63
1256752297.0,2.352163e-46,63
1256752425.0,2.418953e-46,63
1256752553.0,2.454600e-46,63
1256752681.0,2.461498e-46,63
1256752809.0,2.246289e-46,63
1256752937.0,1.935835e-46,63
1256753065.0,1.991977e-46,63
1256753193.0,1.964485e-46,63
1256753321.0,1.955793e-46,63
1256753449.0,1.975412e-46,63
1256753577.0,1.967653e-46,63
1256753705.0,1.931443e-46,63
1256753833.0,1.912152e-46,63
1256753961.0,1.960658e-46,63
1256754089.0,2.390985e-46,63
1256754217.0,2.254432e-46,63
1256754345.0,1.939766e-46,63
1256754473.0,1.925226e-46,63
1256754601.0,1.930286e-46,63
1256754729.0,2.005419e-46,63
1256754857.0,2.280147e-46,63
1256754985.0,2.024812e-46,63
1256755113.0,1.977604e-46,63
1256755264.0,1.943723e-46,63
1256755392.0,1.943889e-46,63
1256755520.0,2.006472e-46,63
1256755648.0,2.033518e-46,63
1256755776.0,2.007526e-46,63
1256755904.0,2.017021e-46,63
1256756032.0,1.992072e-46,63
1256756160.0,1.991173e-46,63
1256756288.0,1.930557e-46,63
1256756416.0,1.919405e-46,63
1256756544.0,1.984631e-46,63
1256756672.0,2.037410e-46,63
1256756800.0,2.012664e-46,63
1256756928.0,1.994408e-46,63
1256757056.0,2.174956e-46,63
1256757184.0,1.993916e-46,63
1256757312.0,1.984594e-46,63
1256757440.0,2.006920e-46,63
1256757568.0,1.986701e-46,63
1256757696.0,2.020075e-46,63
1256757824.0,1.999554e-46,63
1256757952.0,1.917590e-46,63
1256758080.0,1.936812e-46,63
1256758208.0,1.992859e-46,63
1256758336.0,2.011538e-46,63
1256758464.0,1.969297e-46,63
1256758592.0,2.040243e-46,63
1256758720.0,2.018366e-46,63
1256758848.0,1.966543e-46,63
1256758976.0,1.931949e-46,63
1256759104.0,1.951556e-46,63
1256759232.0,1.952903e-46,63
1256759360.0,1.921327e-46,63
1256759488.0,1.903467e-46,63
1256759616.0,1.933808e-46,63
1256759744.0,1.942852e-46,63
1256759872.0,1.938209e-46,63
1256760000.0,1.913099e-46,63
1256760128.0,1.936669e-46,63
1256760256.0,1.937626e-46,63
1256760384.0,1.917858e-46,63
1256760512.0,1.963242e-46,63
1256760640.0,1.945152e-46,63
1256760768.0,1.959110e-46,63
1256760896.0,1.970148e-46,63
1256761024.0,1.967860e-46,63
1256761152.0,1.943834e-46,63
1256761280.0,1.929361e-46,63
1256761408.0,1.940929e-46,63
1256761536.0,1.994072e-46,63
1256761664.0,1.986161e-46,63
1256761792.0,1.914184e-46,63
1256761920.0,1.914403e-46,63
1256762048.0,1.919590e-46,63
1256762176.0,1.928771e-46,63
1256762304.0,1.902848e-46,63
1256762432.0,1.914452e-46,63
1256762560.0,1.891040e-46,63
1256762688.0,1.917276e-46,63
